,Short,Long,Rating
57,Value for money...,"As I am working from home, a lot of time is spent on calls. I bought these as in-ear earphones were getting uncomfortable for long calls. These headphones are really comfortable.. doesnt hurt my ears .. sound quality is really good... amazing for both calls and listening to music... keep the mouthpiece closer to your mouth while speaking...rest all is good for this price range...",5
58,Satisfactory & Optimal Performance Headphones,"I was somewhat skeptical because I had never used boAt before, but it seemed pretty good from the product description, so I went for it. I must say, I'm extremely impressed with the quality of these headphones.

Pros:

1. Fantastic Sound Quality
2. Great Noise Cancellation Feature
2. Well Balanced Bass
3. Adjustable Bands and Rotatable Speakers allow for a very Snug Fit and Compact Storage
4. Very Robust
5. High Clarity Mic and Control Button

Cons:

1. Earmuffs Cause Slight Ear Pain After a While so Makes It Difficult to Wear for Too Long
2. Short Wire May Cause Some Length Problems
3. No Volume Control Buttons

Rating: 9.5/10, One of the Best Headphones in This Price Bracket",5
59,Amazing !!!! Worth the price !!!!,"I already have a boat head phones (the bluetooth ones ).. I had bought those some decades back.. I just love those headsets.. my mom wanted an wired headphone since her JBL headphone is not working properly... This time I thought of trying a Boat wired headphone for her thinking it may be as good as mine and quiet advanced .. since mine is an old version.. and because of the Amazon festival I got it quiete cheap and it got delivered today just a few minutes ago.. I tried the headset myself...
The quality is amazing ..
The look is amazing....
The colour is amazing...
Its light weight ... ( Mine the old bluetooth headset is very heavy )
Its not hard or too tight on the ears ( it doesn't press hard on the ears ) like the bluetooth headset I have..
The sound system and bass is amaxing...
Overall I am very happy and satisfied that I have selected the right brand for the headset for my mother ..
I would definitely recommend this product..it's worth the price..
I was looking out for normal earphones for my phone I know which brand I have to go for The Boat one for sure ..",5
60,So-so,"I was advised by the doc not to use ear phones that go inside the ear, so I opted for this after reviews. I am using it with the Samsung phone. Not sure if the phone is bad, or network coverage is bad - since i started using it, no one is able to hear anything properly; i am not able to hear them also properly - had to disconnect calls multiple times. Finally, i ditched this headset, and am just holding the phone close to my ear and going without using hands-free.",3
61,"Very avoidable if you have a little more money, look for other options","The build quality is good, happy with that, good packing BUT the overall sound is very bad. Has no highs, hardly any mid, just a lot of bass. The over all sound quality is kinda muffled and low ranged. Unless you really boost with an eq aligned heavily to mid and highs you won't like the sound. I made a mistake and bought 2 donated one already. Suggest you not buy if you want good balanced sound. Ordered 2 together and got them in different time lines not happy with that",2
62,Great bass. Love it. Go for it.,"Great. I love it. Sound is very heavy. Bass is great. Sometimes the bass is so high that it is not tollarable. You always have to keep the system bass at the lowest. I got it just for Rs. 540.
The quality of the headphone is good. The wire quality is great. The spring connecting the wire and the 3.5mm jack is great and very useful in terms of longitivity.
One can purchase the headphone if someone loves bass.",5
63,Painful review,Everything was good at first.. Sounds were great. But then the pain slowly crept in.. Too be precise the anti helical fold part of the ear suffers the most pain due to the pressure of the earpads.. The ear pads is the only con on this head phone.. But not gonna return it cos i use these head phones for listening to sounds tat i dont want to be heard outside(if u know wt i mean..lasts only for 5 to 10 mins..😂). Would not recommend this.,2
64,One of the wow products,"Just wow product. I just starting using it however it has amazed me in every way. Amazing sound quality, good mic and fair enough noise cancellation however it will depend on which area you are using it like if you are near heavy traffic area, horn sounds will be issue however overall an amazing product. I will recommend to everyone. Thank you Amazon for amazing delivery as always 😊",5
65,Good sound and decent passive noice cancellation but mic is not working after 2 months,"I really liked the product, it had good sound, good bass, was comfortable and good call but the mic is malfunctioning after a month or so and my voice is not auidable to other person on the line. Still good with sound, but doesn't help me if I don't have mic and I use it a lot for office calls.",2
66,Seems duplicate,Doesn't seem original. Came in brown cardboard box which had a sticker of boat inside. Probably the seller forgot to stick it. It won't fit an adult head will hurt in a while. Since I took it for my toddler he is able to adjust. Seems duplicate. Lots of disturbance each time the wire moves. Please purchase from a good outlet like chroma etc.i exchanged and still the second one too was the same. There is no return available sadly.,1
67,Good headphone at low budget.,"Good headphone at low budget. Look, feel and sound quality are it's pros.

16th October 2019: after 10 month of use left side of headphone stop working. Don't know how to get it repaired, warranty is 1 year so looking for option to get it repaired. No support information can be seen in Amazon.

One more issue as everyone highlighted is hard on ear, ear starts paining after 30 minutes use in any conference call.

9th November 2019: I got customer care detail of boat from Google easily. I logged the complaint and received replacement in 4 weeks. I have rated it back to 5 star for it wonderful service. No follow up is required , once logged complaint someone will come to pick faulty product, details will be shared via email and sms. Same need to be checked for update. Follow up action will be updated via sms and mail and final solution Will be provided in 3-4 weeks time. Same is also written in sms and mail.",5
68,"Good sound, Poor voice call, normal built quality","Hello guys I just received this headset. Sound is really good. But wait read my reviews carefully. Its not for all.

1) Amazing sound quality for bass lovers. Sure extra bass
2) if u are hearing in medium to high volume the person's near u will. Hear lots of sound of ur track.
3) definitely not good for voice call its bit boss effects. Which makes very unclear voice.
4) am really afraid that it might break in rough use. So use it will care.
5)Good for music's, YouTube, movies etc. At this price go for it.",4
69,The best,"I bought it 2.5 years ago and writing review today.. around 5 months after purchasing it, all of a sudden it stopped working. I claimed the warranty and they had repaired it. And after that there wasn't any issue except the mic stopped working, so I can't use it for answering calls.
But till today it is my choice of use while watching movies, listening songs etc. Even the Bluetooth headset stands at 2nd place..
Bass and sound quality is 100%",5
