,Short,Long,Rating
35,Not good,"Watch is good but App is worst.
watch tracks the step count, but when we try to sync with the App, suddenly all steps get reset and go to zero.
This is very disappointing. As a smart watch step counter is a very basic feature and that is also not syncing correctly.

Giving 1 star due to the App, this is really annoying. Even automatic heartrate monitor doesnt seem to work.",2
36,Moderate,No call notification,2
37,Expected a better product,No happy,2
38,Slightly disappointed,Wast pordat,2
39,Moderate,Have always issue in connectivity....,2
40,Not good,Worst connectivity with mobile app. App working too bad,2
41,Could be way better,Build product is very low strap is not that good as expected. Display is also not that good as we all see in videos notifications alert comes very late by the time u get notification call gets end ....,2
42,Bad quality,Battery issue,2
43,Bad quality,"It's Not a good products, it's steps calculate showing wrong",2
44,Moderate,Poor blue tooth connectivity and faulty sensors.,2
45,Could be way better,Connecting problem issue,2
46,Expected a better product,"Disconnected frequently with phone, sometime notification not received even phone connected, shown sigle notification/msg/whatsapp msg thrice in watch. Wake up gesture not working properly.",2
47,Not good,Touch problem on display,2
48,Moderate,Data is not accurate... showing wrong data of BP. No sleep data capturing. If you want to buy for time display go for it,2
49,Slightly disappointed,Not suitable,2
50,Not good,Automatically disconnecting from mobile app,2
51,Bad quality,not fill to watch is brand,2
52,Moderate,Okay watch,2
53,Expected a better product,Hanging slow,2
54,Slightly disappointed,The screen displayed in the product photo is not present in the actual product. Destroys the whole look and feel of product.,2
55,Not good,Price ghatao...,2
56,Could be way better,Not good product automatically on and off lose of money,2
57,Bad quality,The watch has stopped working afterthe return policy.Do not buy this product,2
58,Moderate,"battery draining very fast, call alret feature not work properly, wrong So2 result found and Bp not detact.",2
59,Slightly disappointed,"There will be no accurate activity tracking, and the device will not stay connected for long, necessitating periodic rebinding.",2
60,Bad quality,"Conctivity-2/5
Display 3/5
Price 3/5
Must buy 2/5",2
61,Slightly disappointed,You can not wear it more than 1 hour.,2
62,Not good,Not bad,2
63,Could be way better,Operating range is hardly 2-5 meters and sometimes get disconnected even phone is close to watch.,2
64,Could be way better,"Baisc features , poor display quality . Good for kids .",2
65,Slightly disappointed,Too small in size,2
66,Slightly disappointed,"Sensor
Not working properly
Bluetooth connect very very disappointed
Sleep monitor always same results every day same
Display size 0",2
67,Expected a better product,Notification not good,2
68,Expected a better product,To small size,2
69,Moderate,Sensor is not working properly,2
70,Slightly disappointed,"Cheap cloud dial faces. Add some nice dial face.. then it will be a good product..
Consuming my phones battery a lot.",2
71,Not good,It's battery backup is not very good..,2
72,Not good,Don't show notification on the watch..,2
73,Moderate,The size of the watch is really small.. When we see this product in the picture it seams really big.. But in the hands of a men its size is small...,2
74,Bad quality,Normal product,2
75,Not good,"The SPO2, BP, and 💓 rate features have are highly inappropriate. Looks like they have fed some values, which repeat themselves instead of showing the actual readings.
So, don't believe these values",2
76,Not good,Watch is good but flipkart my problem not solved,2
77,Not good,"Sleep tracker tracked 2 hrs worth of extra sleep. I walk a lot around the apartment but step count is all wrong.
I had a Garmin Vivosmart, I think after that this is a big step down. Regret buying this.",2
78,Expected a better product,Battery life three days only,2
79,Moderate,"After 3 month usage, its ok for 6 momth use.",2
80,Not good,Ok gift for senior citizens,2
81,Not good,Money bokkey,2
82,worst item from Boat.,very bad product it does not connect to my phone (samsung M21) wasste of money.... i want refund.,2
83,Bad quality,"Not working properly censor have lot of unaccuracy , main problem with boat pro gear app automatically disconnect even app work in background .",2
84,Expected a better product,Every time disconnecting,2
85,Expected a better product,Getting display issues after 3 months and manufacturer is unable to replace,2
86,Slightly disappointed,"Value for Money.
However when connected with Phone app,
All of a sudden it looses the count of steps always and
Set Target changes and updates on it own.",2
87,Expected a better product,"good awesome
it is having fast charging
good looking",2
88,Bad quality,I am not satisfy with this watch because every time I need to reconnect and do the scanning,2
89,Moderate,Mag and call notifications are not received,2
90,Slightly disappointed,"After one month it's death, it's switch not getting on... wastage of money",2
91,Could be way better,Not comfortable,2
92,Bad quality,Bad product,2
93,Could be way better,Pathetic performance form watch.....and so much notification problms...,2
94,Not good,Poor connectivity with app via bluetooth. Activity tracking is not as per expectation. Brightness and Screen are not up to mark,2
95,Not good,"BP reading in not perfect not even near by, rest features are ok",2
96,Could be way better,"The oxygen meter doesn't work at all, it's just a glitter to the eye. Also very less apps compared to gionee.",2
97,Could be way better,"Display 👎normal
West my many
Don't buy these watche",2
98,Expected a better product,It's battery life end quickly with or without connected to phone means battery life is not for more than 5 days.always have to be connected with progear app then only it will track or can display your calls or msg. Not to the expectations.can do better,2
99,Bad quality,Back side charging point is scrap after using one month,2
100,Moderate,Weast,2
101,Could be way better,Monitor was not perfect,2
102,Could be way better,Calling sensor is not working properly using after few days,2
103,Slightly disappointed,BP is not accurate....,2
104,Not good,Some options r not working properly... specially call alert.. worst purchase,2
105,Could be way better,Pairing loses most of the time,2
106,Moderate,Never buy this watch.All are defective ones.it gets reboot whenever you sync with you App. Also the support' from Boat is pathetic,2
107,Could be way better,"Connectivity very worst...
After one week Incoming call notification not working...waste of money pls don't buy",2
108,Moderate,Average product,2
109,Expected a better product,I lost my charger and now I am not getting a charger compatible with boat storme smartwatch.,2
110,Could be way better,Bluetooth keeps disconnecting often,2
111,Slightly disappointed,Not accurate,2
112,Slightly disappointed,The watch is connected only when the application is on in recent apps,2
113,Moderate,"Too bad display quality and too small display. Tracking is bad. No monitoring is also bad. There are other many gud watches in this price rang.i was buying this money waste product just becoz of just paid gud reviews.but you guys still have a choice , go for noise or add some money and buy another gud watch. Don't buy blindly like me",2
114,Expected a better product,Connectivity failure. Don't pur hase it. After every 30 minutes we have to again reconnect it with the app,2
115,Slightly disappointed,"When i have received the watch it was not charged, not even 1 or 2 %..And when i put the watch on charging it was giving some electric current while touching it.. I am really not satisfied with this feature because it is totally not safe at all..

And if it is a technical error than pls inform me..",2
116,Slightly disappointed,Not worthy,2
117,Moderate,Not a good product..waste money,2
118,Not good,Just ok,2
119,Expected a better product,Not so good,2
120,Expected a better product,"It's totally waterproof, rainpfroof, and sweatproof. For activity tracker like running, calories counting etc it's good in work but the bp, spo2, heart rate monitoring options is fake. Just show you some random number based on your age etc",2
121,Slightly disappointed,Very bad after 1month,2
122,Bad quality,Not bad,2
123,Expected a better product,Battery drain fast. After using of few month. In Off condition also installed drains in 2 to 3 days. Not working as boat promised.,2
124,Expected a better product,SPO2 and BP not working correctly because sometime SPO2 showing 90% again i checked in difference between 1-3 seconds it's showing 99% and same in case of BP also.So I don't recommend this device for your regular SPO2 and BP check-up.,2
125,Bad quality,Charger not working,2
126,Expected a better product,While using your own pics to set as wallpaper we cannot change the time format settings plus the dial shows me overlaped timings. Cannot accept calls. To set alarms you have to use app then only you can create new alarm.,2
127,Not good,Software not good 😐,2
128,Moderate,Software interface is very poor. Needs optimization in software,2
129,Not good,App is not working properly 😡,2
130,Not good,"*If you are in any whatsApp group and haven't read the msg and after that if you receive a msg from a person it only shows counting of sms😞 not the seperate sms.
*Also sometimes it get your old sms or otp as an alert worst thing ever.
*As details said you can't answer phone call but you can decline but yes we touch the hang button it disconnect the call from watch and mobile but the caller didn't get busy tone it just rings from other side.
*You can't custom set the time view:- if you choose a picture of your own it just have a default time view on that not you can set a bold time clock or analog clock",2
131,Not good,Very bad product,2
132,Not good,Strap design not gud,2
133,Bad quality,App is very poor,2
134,Could be way better,The app and is not fluid. It has comnection problems. It gets disconnected.,2
135,Expected a better product,Very small display and every penny is waste.,2
136,Expected a better product,Not good according to price.,2
137,Moderate,Call alert not working,2
138,Not good,I am not satisfied..,2
139,Bad quality,After sometime watch has been automatically disconnected,2
140,Could be way better,Amazing look but don't expect better activity tracking and it shows completely wrong about sp02 and heart rate and BP,2
141,Slightly disappointed,There are scratch marks on the innermost screen ..,2
142,Moderate,Call notification delayed message delayed and whatsapp msg notify not getting .. think before u buy,2
143,Could be way better,Using for 4 days. Performance is very bad. It's hardly give call notifications. It need to connect again and again to get notification.,2
144,Moderate,"I am getting tracking problem. It's totally disappointed watch, I can not recommend for buying. When I just sit in traveling bus, the steps are counting and burning kaliries.",2
145,Expected a better product,Not good,2
146,Could be way better,Bad product,2
147,Expected a better product,Smart watch stop working after 10 days very poor product want to replace finding hard to,2
148,Slightly disappointed,Spo2 or hearts rate sensor did not work,2
149,Could be way better,Don't waste your money i have purchased this watch 1 month ago and now watch not properly work.,2
150,Bad quality,Bad watch,2
151,Slightly disappointed,"Disconnect every 5 minutes....this is the big issue....
What's problem .... don't know...
Tell me solution...plz as soon as",2
152,Bad quality,Very bad experience of connectivity i request to all customer dont buy boat storm smartwatch no refund available,2
153,Expected a better product,Strap is damaged after a month.Very disappointed,2
154,Not good,It broke in few days,2
155,Could be way better,Not satisfied,2
156,Expected a better product,Wrong activity tracking. False BP and pulse rate will confused you. Design is ok. Better go for other model not suggestive at all.,2
157,Expected a better product,Dis liked,2
158,Moderate,Bad products,2
159,Bad quality,"Good looking watch.

1. Avarage battery life of 7 days.
2. Activity Tracking is Good.
3. connectivity is Very Poor (verry verry poor) you have to keep connecting to the app. Even can't give a single start out of 5.
4. Notification alert is good but as connectivity is poor no use of notification feature.
5. Relax feature in the watch is very nice.
6. Oxymeter feature is Good. But has error+-5 to 8% .

Overall is a good watch.",2
160,Expected a better product,Not good,2
161,Moderate,Good but connecting problam,2
162,Moderate,"Battery is good
Looks good
One and important thing i.e tracking activity is worst",2
163,Expected a better product,"No notifications from apps like Signal messaging, Google classroom, and some other apps which is available in watches and even bands of some other companies",2
164,Could be way better,Call notification didn't work.,2
165,Bad quality,Want call receive options.,2
166,Expected a better product,Display small,2
167,Bad quality,The Spo2 and other activities tracking is not accurate...battery life is awesome,2
168,Moderate,Just ok,2
169,Expected a better product,"not satisfied with the connection, connection loss every time + you need to continuously run boatgear application in background otherwise it will disconnect in next seconds, worst app for connectivity otherwise watch fine.",2
170,Expected a better product,Good product but screen is screch out door exercise best to buy include screen protector....,2
171,Not good,Not able to reject call also now call alerts not coming,2
172,Bad quality,Useless,2
173,Expected a better product,Connectivity is not good,2
174,Bad quality,"Wastage of money, Bluetooth connectivity not working,bad experience",2
175,Bad quality,"Software problem, suddenly stopped charging, and after that frequently shut down and restart again repeatedly",2
176,Slightly disappointed,Ok,2
177,Slightly disappointed,Spo2 and BP reading are in aqurate,2
178,Expected a better product,use watch Dilavard me,2
179,Expected a better product,"Chip design, poor small display, can have better display & quality product with additional few bucks",2
180,Expected a better product,"This watch battery backup good but temperate sensor , oxgen level not perfect in standerd oximeter not mached.",2
181,Moderate,Bad,2
182,Could be way better,Didn't like it,2
183,Slightly disappointed,We can get same feature in another brand at lesser price,2
184,Could be way better,Very bad performance,2
185,Bad quality,Good but some technical issue after sometime,2
186,Moderate,Connectivity issues. Watch is rebooting for almost every sync,2
187,Not good,Battery is too weak with after every 2 day I have charged it,2
188,Could be way better,"Not so great
You will not get the digital experience.
Instant of buying this put some more money & get a good watch with lot's of features & quality.",2
189,Not good,Stopped working after a month.,2
190,Slightly disappointed,After 7 days connection problem.Not connected with App..How can i fix .,2
191,Moderate,"Supporting app is not good,call notification problem.",2
192,Bad quality,Sensor not working properly after one month,2
193,Could be way better,display quality bad,2
194,Could be way better,Really waste product not at all supporting.i recommend not to buy this product.,2
195,Could be way better,"Well it's good to have a watch in this budget. But the horrible thing is it's not very accurate. To be honest the accuracy is too bad. It's not even close especially step calculator which most people use the most. The app and the watch are not very compatible when you do synchronisation. Just to make fun or show off I think people can go for it. But for people who are little serious enough about the accuracy, just increase your budget and get a good one. And it's not recommended at all from my side. according to me it's just a waste of money. Please think accordingly before buying this type of value for money products.",2
196,Expected a better product,Waste of money. Tracking in this watch is very poor,2
197,Could be way better,"Not satisfactory with spo2 and bp features performance.
Other functions are good.",2
198,Moderate,"If you want a smart watch just for the sake of it, go for it. Not satisfied at all with it features. Activity tracker is totally a waste it doesn't give any indication it is not even remotely correct. Display and touch is also not great.",2
199,Not good,Superb product and excellent capabilities and battery life endurance even it's a splash proof when pour the water 🌊,2
200,Bad quality,"It's around 15days I bought this watch , now display of the watch has gone blank",2
201,Moderate,"Im really disappointed with u boAt.this time.
Its activity traking is really pathetic...i will not suggest anyone if u want to kno ur . Oxygen level..BP..Hrt beat....",2
202,Expected a better product,Ok,2
203,Slightly disappointed,"SPO 2 No Accurate
Blood pressure No Accurate
Heart Rate ok complete",2
204,Expected a better product,I seen battery issue in 5 days after purchase,2
205,Expected a better product,Bluetooth waste and also the watch not connect to phone properly 😡😡😡,2
206,Not good,Always disconnects with mobile,2
207,Not good,"Its a Half waste of Money....
Wait untill Price Drop...",2
208,Bad quality,Only watsapp msgs coming no call info,2
209,Slightly disappointed,"Oxygen saturation reading is highly inaccurate. If u take reading 3 times, it shows a range of 12 (88-99).

Blood pressure monitor is also very bad. Inaccurate readings are displayed.

Rest all is fine in this watch.
Overrated",2
210,Could be way better,"Connectivity Issues always but not because of watch it's lack of application connectivity in background. It works perfectly when you open it's application but in background no calls msgs showning due to lack of connectivity.
Boat should make changes in it's application asap",2
211,Could be way better,Not much usefull. Bluetooth always disconnected how ever it is showing connected in mobile. Don't know what is worst watch or it's app.,2
212,Not good,Kindly invest little bit more but don't purchase,2
213,Slightly disappointed,"Dial very smal,l price is too high for this feature, only use for girls",2
214,Expected a better product,"It's a kid watch or play watch, not a smart watch actually!",2
215,Moderate,Charging is not working withing 3 months..,2
216,Not good,Average,2
217,Could be way better,Bed product,2
218,Moderate,Activities not Fast Work,2
219,Not good,"Not bad, but readings are not right",2
220,Bad quality,Bad product,2
221,Slightly disappointed,"Oxygen level, Blood pressure monitoring etc dont work properly",2
222,Not good,"Activity tracker is very bad
Charging amazing
Display ok",2
223,Bad quality,"censer not working only in 15 days.bp monitoring,pulse monitoring is totally wrong seen on display.",2
224,Moderate,BP and oxymeter measurement is not accurate,2
225,Bad quality,Waist product,2
226,Expected a better product,"Display is not enticing. I bought it for SP02 monitoring which also could also not meeting the expectations
May be an option to calibrate the readings could have been better.
2/5",2
227,Slightly disappointed,Just ok,2
228,Not good,Very bad,2
229,Expected a better product,"There is no stress monitor. Weather app and camera shutter. These are some basic features we get on any other smart watches. They dont even add these features.there could be atleast weather info.

User interface is too bad. Laggy and looks so cheap.
Display size is too small and color reproduction is not good.

Sleep tracking is worst.
It is not even recording sleepdata.
I slept wearing this a night and there were no records of sleep.

Step counter is also a mess . it is not counting the steps everytime. Only when i use sports mod it counts the step.",2
230,Could be way better,It's not good for sports,2
231,Expected a better product,I use this watch last one week and i saw that Blood pressure reading always shows 119/74 and oxygen level reading also not correct. Only pulse rate accurate.,2
232,Expected a better product,"This is worrst product.
I have purchased this for the blood oxigen level (spo2), bp and pulse, all the activities results was too different with the value measured by the relevant apparatus.",2
233,Could be way better,"Battery life is not good.only 3 days
Step count is not working properly.",2
234,Not good,Not satisfied,2
235,Slightly disappointed,This is no value for money product. Below average,2
236,Could be way better,"SPO2 , BP NOT WORKING",2
237,Slightly disappointed,Just ok,2
238,Not good,Very bad,2
239,Expected a better product,"There is no stress monitor. Weather app and camera shutter. These are some basic features we get on any other smart watches. They dont even add these features.there could be atleast weather info.

User interface is too bad. Laggy and looks so cheap.
Display size is too small and color reproduction is not good.

Sleep tracking is worst.
It is not even recording sleepdata.
I slept wearing this a night and there were no records of sleep.

Step counter is also a mess . it is not counting the steps everytime. Only when i use sports mod it counts the step.",2
240,Could be way better,It's not good for sports,2
241,Expected a better product,I use this watch last one week and i saw that Blood pressure reading always shows 119/74 and oxygen level reading also not correct. Only pulse rate accurate.,2
242,Expected a better product,"This is worrst product.
I have purchased this for the blood oxigen level (spo2), bp and pulse, all the activities results was too different with the value measured by the relevant apparatus.",2
243,Could be way better,"Battery life is not good.only 3 days
Step count is not working properly.",2
244,Not good,Not satisfied,2
245,Slightly disappointed,This is no value for money product. Below average,2
246,Could be way better,"SPO2 , BP NOT WORKING",2
247,Bad quality,"SPO2 is not accurate, don't rely on any watch",2
248,Moderate,Watch is good but the time taken for shipping is too much. It already take 13 days to ship the product. And 4 days to get delivered. Worst experience ever. Slow processor of the watch. Compare 2 real me boat has nothing to compete.,2
249,Could be way better,Oxy meter and Blood pressure checker always provide wrong information Its totally false number provided by watch. If u want to buy for its features like oxymeter and Blood pressure checker then dont buy it.,2
250,Not good,"Its just a electric device only on your hand not for fitness or SPO2 ,heart rates ,BP all trackers work on assumptions",2
251,Could be way better,I am getting fungal infection by this,2
252,Slightly disappointed,"Please don't buy if you are thinking of tracking SPO2 , Blood Pressure.",2
253,Not good,Totally west of money features of watch not satisfactory and it show always wrong o2and pulse,2
254,Moderate,Mobile app for the watch is one of the worst that i have seen. Very bad UI. Expected better product from boat.,2
255,Expected a better product,I don't like,2
256,Bad quality,Battery runtime 5 to 6 days,2
257,Expected a better product,Battery getting drain within 3days of use,2
258,Bad quality,Software not properly working,2
259,Not good,"not all features work
any social media notification not showing",2
260,Moderate,"Display is very small , incomming call alart has not seen properly due to short font. Problems in connect with divice and mobile 📱. Connection are discussed from mobile to divice. Battary back up is good, oximeter and blood pressure is incorrect.software need update.",2
261,Slightly disappointed,Product is not good. Many of the basic features are not there. Still If you want to buy then buy the other one which is less costlier than this watch.,2
262,Moderate,Oxygen level not correct difin,2
263,Moderate,The oxymeter does not work correctly,2
264,Bad quality,App of this watch doesn't work. Doesn't sync data properly,2
265,Bad quality,"Sensors give false reading.
Specially Spo2 and BP.
COMPLETELY VARRY FROM REGULAR MEASURE MACHINE",2
266,Slightly disappointed,DND TRACKING VERY BAD AND BELT QUALITY VERY POOR,2
267,Expected a better product,"Bp reading is not accurate, spo2 and Heart rate reading also some times different. Don't relay for this device results.",2
268,Could be way better,"The watch is giving really bad readings of Blood pressure and oximeter. It shows an error beyond 5%, and the calories count during my walking session is same as my phone 📱 calories count. The screen is not edge display. It has some edges which are visible when you wear the watch.",2
269,Expected a better product,Watch is just okey for activity tracking but awesome for time and notifications ...,2
270,Could be way better,Bluetooth connection poor,2
271,Slightly disappointed,Blood pressure and pulse rate is error for all time...,2
272,Not good,Waste,2
273,Not good,WhatsApp Notification Not Showing,2
274,Slightly disappointed,"Oxygen leval shows very different actually I bought for this purpose but it not work, for that feature .it is necessary that all health features should work properly but this is not satisfy",2
275,Slightly disappointed,Average watch,2
276,Slightly disappointed,"This is not for health issues ,bp and other parameters , if you measure 3 times then you have three results with same person,
Also notification deley very much
At a time you can check mobile notification in mobile , till notification comes to you watch ..
If you using only as a activities tracker
Then it's ok ok.",2
277,Not good,Wrong Oxygen level showing all times. Using this just like normal watch. Not expected...,2
278,Moderate,"Do not buy this, sometime it's get disconnection and call notification unable to work properly.",2
279,Moderate,Spo2 monitor is not accurate it always stand with 99 even it is detecting 99 oxygen level in my rubber covered pen . I have purchased for spo2 but it is not worth and look wise go for other big dial watch wich look similar to apple watch. It's dial look childish not for mature person.,2
280,Slightly disappointed,Average,2
281,Slightly disappointed,Display quality not upto mark,2
282,Not good,Batry backup only 4 days,2
283,Not good,"There is a advance software in this watch which major non living thing oxizen label, heart rate and temperature also.
So it's my request not to purchase for measuring oxizen,heart rate and temperature.",2
284,Moderate,Synchronisation issue,2
285,Not good,"Its good for one month after that data is automatically removed when synchronise the data in boat application.
After bind & unbind again it shows wrong results.
Not satisfied with this product.
Don't go for it
it has not worth,wastage of money.",2
286,Not good,Wrist sensor is not so sensitive !!. Getting bad experience,2
287,Slightly disappointed,"If you buy for just wearing smart watch and looks like cool then buy otherwise don't prefer this watch.
If you have low budget then buy.
Spo2 level value of this watch and oximeter value is not same.
Sometimes call notification not showing and
Also whatsapp notification and others.",2
288,Slightly disappointed,"Just did a firmware update and the watch has gone crazy... Yes it's a cheap watch but no would expect this..
Look at the blood pressure reading... M still alive to write this review... 😂
It's like first one was a trial reading... 2 nd one seems to be okish... Then take the third one and decide best of three... Confused if I should believe it's oximeter now..",2
289,Slightly disappointed,It's great but display should have been more large,2
290,Expected a better product,"No notification for messages and social media. Only notification for calls. I have 2 boat storm smart watch, both have same problem.",2
291,Not good,"First of all device should hav at least some battery inside the box.

Pros:
1 Most sensors at this price (at least on paper).
2 Nice build quality especially Strap and dial material.

Cons :
1 Heart rate sensor shows 15-20 beats more than actual (in my case).
2 SPO2 values differs upto 10-15 % every time when checked continuosly.
3 Step count is not as accurate as my MI band 5.
4 OS is not furnished right now.",2
292,Could be way better,"Activity tracker is very bad .Bp, Heartrate, oxygen level is not up to mark ever time it falcuate at high margin ,so we can't reiable on it.And connection is very poor always disconnect after 5 to 10 mins.",2
293,Expected a better product,"Only 2 day's battery life, completely disappointed",2
294,Not good,Very small in size. Looking not so good,2
295,Slightly disappointed,"Very bad activity tracker.
Inbuilt program like when you select sports mode heart rate goes to 106-7 automatically even you are in rest position.
Blood pressure is completely false",2
296,Could be way better,WhatsApp notification is not working,2
297,Bad quality,"I don't think it is value for money product the quality of display can be better when we switch into one option into another it lags. And display vibrates sometime otherwise i got this product oneday earlier from delivery date.
I was not satisfied wid the product so thought to refund and i got my money back in one day which was a good thing.",2
298,Could be way better,"Using it from 17 days
Pros :-
1. Good quality
2. Battery drains slowly when not connected to mobile phone.
3. Steps counting is little bit accurate.

Cons:-
1. Battery backup is not good when connecting to mobile phone.
2. It's app drains battery at a very faster rate of watch as well as mobile phone.
3. App needs to synchronize by time to time.
4. Screen brightness is not so good not easily visible in outdoor.
5. Oxygen level measuring, Blood Pressure measuring, is just to entertain like Android apps.",2
299,Expected a better product,"Display n design is good good but not as expected. Feature wise it is okay, app needed to be worked on to utilize the watch at its fullest.",2
300,Not good,Not good,2
301,Moderate,Cheap chinees praduct,2
302,Slightly disappointed,Connectivity problem,2
303,Moderate,I ordered boat Strom watch I received this wast watch,2
304,Bad quality,"Battery is not as strong as claimed. Morning I fully charged it, by now it is 58% remaining.",2
305,Not good,"No more features, screen slow response",2
306,Moderate,"U will get a bigger display watch to for show.. Monitoring is worst in this watch either it is SPO2 or Blood Pressure.
Found connectivity issues with this watch too.
Better to spend some more money and buy Amazfit Bip U.",2
307,Bad quality,"I don't think it is value for money product the quality of display can be better when we switch into one option into another it lags. And display vibrates sometime otherwise i got this product oneday earlier from delivery date.
I was not satisfied wid the product so thought to refund and i got my money back in one day which was a good thing.",2
308,Could be way better,"Using it from 17 days
Pros :-
1. Good quality
2. Battery drains slowly when not connected to mobile phone.
3. Steps counting is little bit accurate.

Cons:-
1. Battery backup is not good when connecting to mobile phone.
2. It's app drains battery at a very faster rate of watch as well as mobile phone.
3. App needs to synchronize by time to time.
4. Screen brightness is not so good not easily visible in outdoor.
5. Oxygen level measuring, Blood Pressure measuring, is just to entertain like Android apps.",2
309,Expected a better product,"Display n design is good good but not as expected. Feature wise it is okay, app needed to be worked on to utilize the watch at its fullest.",2
310,Not good,Not good,2
311,Moderate,Cheap chinees praduct,2
312,Slightly disappointed,Connectivity problem,2
313,Moderate,I ordered boat Strom watch I received this wast watch,2
314,Bad quality,"Battery is not as strong as claimed. Morning I fully charged it, by now it is 58% remaining.",2
315,Not good,"No more features, screen slow response",2
316,Moderate,"U will get a bigger display watch to for show.. Monitoring is worst in this watch either it is SPO2 or Blood Pressure.
Found connectivity issues with this watch too.
Better to spend some more money and buy Amazfit Bip U.",2
317,Slightly disappointed,"Need improvement on this device avarage performance.
I think problem on my device when synchronise with app reboot my watch and says faild synchronise",2
318,Moderate,It not tracking and synching in perfect,2
319,Could be way better,"DESIGN VERY BAD BUT FEATURES Are ok
Screen look are very discusting",2
320,Bad quality,"Had this ordered coz the reviews for spo2 were good
Thought y buy spo2 specially when i can get it in this watch plus extra features
Spo2 not accurate(actually random numbers popping)
Heart rate sensor reviews were not good to begin with so i knew beforehand
Good only for notifications",2
321,Could be way better,Totally waste of money 👎 😭😭,2
