,Short,Long,Rating
8529,Best monitor,"Don't know why but after connecting to my dell laptop, monitor is not getting signal from laptop, I have connected it with HDMI cable that comes with the monitor. Please help me, & not to mention the worst product delivery, took 1 week for delivery",5
6753,Average product,"Product is not good. I am even doubting it’s authenticity. Material(Plastic) quality is quite cheap. Blades are a bit dull.

Wouldn’t recommend this product at all.",3
8950,Really good monitor,Best 22 inch monitor under 10k.Don't think twice just go for it,5
19187,Could be way better,Not as expected,2
9593,Best product,Superb,5
12008,Not recommended at all,"It's worst headset it's only worked Only 3 months ,, don't purchase",1
12107,Don't waste your money,"PLEASE DO NOT BUY THIS!!
1. MADE IN CHINA
2. No Bass, very much ordinary
3. Not comfortable on ears.",1
14406,Could be way better,Not that gud,2
11586,Very poor,"Worst product Though the quality is good, thats only for temporary time. after 2 month one side earphone not working. When i called them for warranty they told me to send Delhi office for repair. i sent my faulty earphone to delhi for repair and from last 3 months i am following up for update and repair status. Boult is not replying. Dont buy it.

Finally after several follow ups i hot my earphone after 7 months but not received my courrier charges spend to send the earphone to their office",1
13429,Bad quality,It was stopped to work within 30days ....,2
10481,Very poor,Camera n displays poor,1
10253,Hated it!,Veri bead mobiel,1
850,An exellent budget headphone,I bought this headset in the sale for 599 and I am happy with its performance to price ratio. Material quality is ok for the price . Sound quality is excellent for this price range and it is also durable. I am using it for past 6 months and I didn’t find any problem in this headphone. So iris an excellent product by boat,5
4480,OTG IS NOT WORKING WHEN CONNECTED TO PHONE,DISLIKE BECAUSE THEY HAVE MENTIONED AS OTG&USB STORAGE BUT WHEN OTG CONNECTED TO PHONE THERE IS NO POPUP NOTIFICATION FOR ACCESS,3
5734,Good,Its original product..,5
5694,Review,Nce product...,5
12005,Don't waste your money,Don't buy go for other,1
12202,Horrible,Bad product,1
19331,Slightly disappointed,Not good,2
229,Excellent design and performance,The sound quality is great. The sensitivity and frequency response is excellent. The folding design makes it very compact indeed. The spring behind the metal connector seems to ensure against damage of the cable behind the jack. The padding is blocking out external noise well. The microphone on the cable is good.,5
13911,Expected a better product,"Mixer moter is good, but the outer plastic not good, no stranth at all. And packing of the product is not good.",2
22300,Very Good,Gud smartwatch,4
14254,Not good,not satisfied thise product,2
5528,Go for it,Good quality of this product,5
9227,Fine Purchase,"Superb Speakers, Very Nice bass and sound . even the Bluetooth feature is really nice. actually i want to give 5 stars to the rating but giving 4 stars only because of speakers wires are really small. you need extra wires extension to mount it on all the corners of walls",4
3746,Ink Very expensive not suggest,Only 30 prints Ink Completed,1
7981,Best,"Not a Professional type. If you want to learn, how to operate a DSLR camera then this will help you.",5
21964,Good quality product,"Good, worth",4
18270,Could be way better,Bluetooth connection poor,2
13026,Really Nice,Good product i recomend this earphone,2
5432,Good Product,Good one for storage of photos & videos,4
20921,Delightful,Good in this price.,4
15567,Just okay,"The design, sound clarity, bass, build everything is good. Color is a bit dull compared to the images shown. Coming to noise cancellation, can hear people
talking even when my headphone volume is increased. Don't know how it happens. Hope this endures for a long time. Overall fine purchase for 349.

Edit: Right side earhead not working. stopped working from September this year. So think before you buy or invest in this one",3
3019,Must buy .. Camera is good,"Very useful first I phone loving it a lot.. Top on camera quality every is so so good but battery life is not really successful it discharged in a day if you are a youtuber or worked on a mobile regular this isn't for you..

Best in camera.",5
1844,"DON'T BUY. One side will stop working after 5 days, many buyers facing this not fixable issue.","worst product, many buyers facing this issue,
this will work perfectly for 5 days and then after many buyer facing the same issue that right side is stopped working (not charging not working)

please do not buy this at any cost unless you wanna waste ur money",1
10751,Worst experience ever!,"The mobile hang a lot, some time it's frustrated I personally not recommended",1
7101,Best entry level DSLR.,"Got it in a good price with exchange. Coming to the features it's a 2021 model with 11th gen i3, suitable for most day to day tasks. I use it mostly for logging to remote work machine. Can use it for light to medium level programming. Camera quality is fine for zoom calls. Speaker looses clarity at full volume. Battery gives around 2-2.5 hrs average backup when I used for video calls and its self discharging if laptop is not used for long. Keyboard and trackpad are the worst, always use a external mouse and keyboard combo. It has 2 USB 3.0, 1 hdmi, 1 USB type C, 3.5 mm ports. So need to judiciously use them or buy an external USB adapter. Overall good buy if you get a great deal on the price.",5
15112,Just okay,"The only con I found about them is their comfort level. Otherwise, it's a fabulous thing in this price tabge.",3
13118,Slightly disappointed,V.bad same sound will come,2
10230,Did not meet expectations,"Dear buyer it's totally failure product I buy 2no of phone always hang from Frist month, don't buy",1
3360,Best for less prints.,Of course very easy to install and use . Pls buy this only if you print around 100 pages per year . If you print more then go for laser jet or any other printer which dont use ink cartridges like this printer which costs you more than the printers MRP.,4
7305,Happy with this product...,My first DSLR loving it.... but don't underestimate this camera it gonna wow you if used correct lens,5
13321,Not good,Stop fooling customers where in in line control for volume,2
9790,Super . Value for money,Great product within budget,5
16437,Value-for-money,Good for elders and people who are not crazy about brands! Good buy at a reasonable price,4
1240,Value for money,"This is a 1 day review , I will be giving ratings to it out of 10.
1. Delivery time – 10
2. Sound quality – 9
3. Value for money yes.
4. Light weight – 10
5. Battery life – 7
6. Build quality – 7 because of charging case lid which looks fragile.
7. Connection range – 8
8. Multifunction buttons – 7 because you can not change the songs and volume.
9. Fitting – 9
10. Noise cancellation in music – 9
11. Noise cancellation in calls – 6",5
2751,Awesome Camera & Improved Siri...Just enjoy,"Awesome Camera & Improved Siri...Just enjoy
Did not like charger provided with the product too less powerful to charge battery.. very slow charging capacity, however mobile last long once fully charged...sufficient for mobile extensive users except gamer.",5
16773,Nice product,Good,4
2936,Iphone 11 128 gb review,Iphone 11 is the best phone i have the camera was superb and display was also good u can buy it im saying it because i am iphone user and i have iphone xr x 7 7 plus and 11 but there is one problem sometimes it dont show u the correct name if caller,5
20759,Decent product,"Blood pressure monitor not correct 1st time Reding 50/50 2nd time 200/185 ,3rd 250/250
Heart rate monitor is perfect....",3
16563,Very Good,Good,4
565,Buy it .,Have been using it for a month . I have been using it intensly to listen to music and lectures online . It's very reliable . Very comfortable . Great value for money . Will keep buying this brand in future also.,5
4188,Awesome product,This product is really so useful for all type of files transfers. Very easily can transfer the files from computer to mobile and vice-versa. Very handy and so good and best one.,5
19337,Could be way better,Not good,2
12240,Waste of money!,I never suggest this earphones waste of money to invest on this.poor sound quality and bass and it's not comfort for your ear.,1
15545,Decent product,cute design and superv quality sound..perfect bass...nice product,3
16679,Very Good,ok good,4
3167,Pros and Cons of HP Deskjet 2131,"HP DeskJet 2131 Is an amazing Printer to go for in A budget option. Although it's a cheaper option the printer is pretty good You can Print, Scan & copy[zerox in both colour and b&w].
If you use a good quality paper results are extraordinary.
A few cons.
1. The stock carterage is terrible it's a very poor quality.
2. Carterages are not reusable
3. I received a damaged carterage.
4. Cost cutting is highly observed over the printer.
5. Also no proper information on how to use the printer via laptop",5
9269,Meh!,"after using for one year i am writing this review this home theater is awesome with clear sound very good for small room , go for it if using for small room.",3
20385,Fair,Good for normal use,3
1311,Awesome earbuds under rs2000.,"Under Rs2000. I think this is the best earbuds.
Pros:
1.The sound quality 4.5/5.
2.light weight.
3.battery backup 4.5/5
4.this is Ipx4 certified.
5.Game mode and many more.
6.No issues of connectivity.
7. And very low littency.(playing pubg).
8. Noise cancellation is pretty good job.
Cons:
1. There are no micro USB cable.
2. And the charger case has no battery back up indicator. But charging indicator is included.
3. And after use the charging case is a little bit loose.
But I suggest you go for it. This is a good deal and value for money.",4
21938,Pretty good,Size and function not better in this price category another company give better features and display size in this price range.,4
17255,Nice,Value for money,3
20417,Just okay,"Display is very small according to size of watch... Display quality is not good, looks low pixel..battery is good...i think Sp02 sensor, bp sensor is dummy, its reading are not accurate... It shows random values between 85-99%...if you are looking for spo2 meter, dont buy this.",3
19774,Good,"There is no workout mode in watch, and when I connect with phone and do workout, it's some time disconnected, some time okay",3
7391,Picture quality is excellent.,One of the best at this price,4
15466,Does the job,"fitting in the ear is very odd, outside noise completely blocked",3
3847,Good Printer,It's is best for the people who has limited use of printer.,5
7358,Lack accessories support,"Amazing Photos for beginners photography.
Nice features.
Light weight.
1300D is also a Good Option.",4
8796,"Cables missing, very poor stand",It's a amazing 22inch fhd monitor.. under 10k it's a good choice for gaming and other work also... I really like the screen quality ....,1
20631,Does the job,Avarge watch,3
8932,Youtuber mislead by this product.,I got this screen from Amazon at low price screen is so good even rgb colors of screen is too good for designing purpose and quality is unbeatable,4
4217,Value for money.,"I recommend this product because it's quality and storage capacity is good and large .
Actually I already bought this product 3 months ago but not giving any review since I want to now about the quality .
It's value for money . And thank you for good packaging and the delivery is faster than I expected . 🙏🏻😊",5
5099,Retriving images and videos fast,"Too much load on memory card, feels like being hard to retrieve data, go for extreme, it's extremely fast. I was out of india on vacation, and took a great amount of photos and videos and surprisingly retriving them was quite cool and fast. Moreover Amazon festive sale added low on pocket too.",5
10670,Not recommended at all,Heater phone! Hate it! No fingerprint sensor! Cheap processor causes phone to overheat while evan running simple applications! Camera is too poor! Money waste,1
5143,It doesnt work at times and tell me to format..In both laptop and Camera..,..It doesnt work most of the time.. at times and tell me to format..In both laptop and Camera..,1
5024,Transfer rate is slow.,Transfer rate is slow,3
436,Not good bad durability,Stopped working within a month and a half. Got it replaced from the manufacturer. Even the replacement stopped working!,1
16271,Value-for-money,Good product in this prise,4
11459,Unsatisfactory,"It didn't last for a year
Disappointed 😔",1
9461,Awesome sound quality,Awesome product really it's mind blowing bass and mind blowing quality and mostly Bluetooth connectivity is so much wide range with mobile really it's awesome,5
13649,Expected a better product,Worst product u sending broken product its not good,2
16911,Nice product,Just ok,4
5875,Great for action camera and drone,"Great memory card for action camera and drone camera
Reading speed is awesome and writing speed is quite good
Must go for this if you are looking for durable storage card for action camera",4
7471,Worthy enough,Good cam for beginners in dslr,5
11851,Did not meet expectations,very bad product....,1
10089,Useless product,"Volume is very low, not clearly audible even after full sound in speaker,",1
19671,Good,Ok ok,3
2093,Camera Quality is not good.,Camera is Defective.,1
10039,Very poor,voice is very low,1
21319,Good quality product,All good but display little small,4
4976,Good,Nice,5
5526,It should be Indian product,"Storage capacity is good, but durability is doubtful.",3
2318,Amazing Phone its Rocket in Pocket,Dont think so much purchase it and enjoy. I was also Android user since 2008. Just go for it iPhone is IPhone. Since Last month I was android user but one youtuber Nabeel suggested for iPhone and after purchasing iPhone i am fully satisfied with iPhone. Non of Android phone can give that much of experience. PUBG Mobile is very smooth and Camera is amazing no phone can beat it. I purchased iPhone 11 128GB in sale for 49K. Don’t hesitate just go for iPhone and you will not regret. If have any question regarding iPhone 11 you can ask me at email alok76000@gmail.com,5
9243,Supper,Superb product nice sound quality,5
15794,Does the job,hmm ok,3
21318,Pretty good,Good but display is small...,4
15994,Good choice,Good headphones at this price rate.,4
20603,Fair,Average,3
13832,Moderate,Not bad,2
4693,Buy without a doubt,Great one,5
9829,Value for money,Product is good at this cost..but not a wow product...good product for smart TV.,4
5508,Good,Good,5
5220,write & read speed is 35mb/s Faulty product provided by Platinum Peripherals,"write & read speed is 35mb/s Faulty product provided by Platinum Peripherals and also with card adapter like original not provided, they sticking adapter on product.",5
10602,Don't waste your money,Not working after 10 days. Do not buy.,1
19305,Moderate,Power bank charges mobile slowly.very bad.,2
13296,Bad quality,"Used it for a month and it stopped working
The sound is good but don't get fooled by the sound the built quality is so cheap that is suddenly stop working and you will regret for buying it",2
19128,Not good,No option of playing audio from pe drives and SD cards.,2
2467,Awesome phone,"One word - wonderful
Battery life - Very Good. Will take you through the day and to the next if you are an average user. Heavy users can rely on the battery for one full day. The phone doesn’t really heat up except while using some heavy apps (once in a while). But not bad at all.
The camera is great, as expected.
Face recognition is awesome. My phone recognises me even in the dark. And thankfully the phone recognises me and only me. Quite smart 😃
I have used the phone for over a month now.",5
17597,Fair,okay,3
5294,Useless hype and wrong claims.,Samsung Evo plus is lot ahead,2
14202,Not good,Parts are damaged with in one year in warranty,2
8935,Superb monitor from LG,The only problem I find with the monitor is that it wobbles on the slightest shake to the desk.,5
5600,Stopped Working After 13 Months,Stopped Working After 13 Months,1
17450,Fair,Good budget product,3
10964,Hated it!,Very very very very bad,1
20438,Fair,Average product,3
20785,Good,Good product,3
3535,good for home use,good product at this price range... cartridge is comparatively costly but for home use it is good product... print quality is best... easy to install & operate... must buy product!!,4
10705,Absolute rubbish!,Hanging problem,1
14639,Decent product,Not bad,3
10446,Absolute rubbish!,Unsatisfied,1
15565,Fair,I have purchased it because of its positive reviews. But after reading negative reviews I am scared whether it will work or not.,3
10876,Terrible product,It will not connect to calls in Bluetooth,1
16133,Worth the money,Value for money .......good sound quality .....,4
8805,It is by far the best looking monitor in this price range,Amazon is great.... nice delivery lg is excellent picture is great...overall 10/10,5
19873,Good,"Have issue with notification.
Even after reinstalling.
boAt need to work on software part.",3
6523,Stopped working in 2 yse,Really Horrible. Bought the product under this reputed name. But really disappointed. The button came out of the knob in the first turn itself and the motor burnt in the first use.,1
19243,Moderate,Battery drain itself when i didnt unplug the cable from phone... And it could charge my vivo y93 upto 80+ % only,2
8857,Inbuilt audio of monitor does not work,Suddenly I see Lines on screen it's not even a week I have brought,1
7929,Useless made me less interested in taking pictures,Decent camera for beginners,1
3269,Disappointment,"I don't recommend. My personal experience, it will cost you more than taking print out in some browsing centre. Because only high end printers gives more printout for single caridge full. This machine, if you replace carridges / fill it, for 800 rupees, it can produce 60 to 70...print out.. Which will cost outside 350 rupees..",2
4387,Not made of metal,This usb is not made of metal and is fragile. If you carry it often in your back pocket or so it won't last the stress.,5
14560,Decent product,Good,3
772,Not good product,"I ordered boat bass 900 wired headphone, the audio quality is not good and there is always noisy sound in the background. The bass quality is not good.",1
21784,Worth the money,"As expected among product
Really worth buying",4
6385,Never ever buy this product. Its a real cheating,WORST PRODUCT !!!! WORST PRODUCT !!!! WORST PRODUCT !!!! WORST PRODUCT !!!! WORST PRODUCT !!!! WORST PRODUCT !!!! WORST PRODUCT !!!! WORST PRODUCT !!!! WORST PRODUCT !!!! WORST PRODUCT !!!!,1
12896,Slightly disappointed,With in 3 month onside not working,2
21061,Really Nice,Awesome display. But the dial is not large enough. Apart from that each feature working as expected.,4
9135,nice neat,"Definitely NO for coding/online reading activity.

LG is NG (Not Good) in displays",5
2295,Android is far better than this,"I was using android from last 8 years then I switched to iPhone and I don’t know for other people experience but mine is really not worth to have this device.

After using 6-8 months it start heating like hell.

Some of the applications is not that much smoother.

Battery backup I think every body knows about this haha you should keep your phone on battery saver all the time

AppStore is not good as play store but for my kind of user (a basic phone user ) it is okay.

Camera is fine but when you’re spending this much of amount you expect more.

So moral of the story is if you are a person who would love to show off your assets then you should go for iPhone because I felt the same, people start acknowledging you hahaha

Android >>>>>>> iPhone for me",2
12631,Expected a better product,Most time phone is lagging and exit the apps,2
9989,Good Quality Music System at Affordable Price,Budget lo good product,4
4291,1 gb transfered with 50 sec's worth for the money.,"Delivered with in 2 days , i am using nokia 5,1 plus , it's detected immediately , and i can able to tranfer 1 GB data with 1 min via SanDisk app. wihich is coms along this pendrive. i am fully satisfied , yet to test tv and computer , i hope it wil work fine.,",5
18817,Not good,Battery was fully drained 24 hours,2
6010,Poor service from Prestige,"Bought it to use as extended memory space on my Nintendo switch, it’s easy to install, responde well.
Nice size and not too expensive.",1
3451,The Printer is good for only single use means for one hour after ...,The Printer is good for only single use means for one hour after that when the colour sinks it is a dammn scrap.. who the hell manufactured it i dont understand you cannot refill it if you do so it will so an error of your cartridge has been damaged and the cartridge price bulshit thousandfive hundred,1
4940,Everthing is ok,Very nice Pendrive I have used it a alot after 1.5 year I am giving review .,4
2207,Loving it!,"I have been an iPhone user 8 years now. The battery backup is very much improved in iPhone 11. Performance is great.
Highlighting an issue which happened for me but was resolved. May help others as well.
After I started the new phone, in the initial steps I chose to set it up using my old device 6s.
Post that the phone was super heated from a short usage, battery was getting drained and voice memos failed to respond after launch.
Apple customer care helped a lot and eventually tried the option to reset the iPhone 11 and set it up from scratch as raw. Restored the data from iCloud later.
Strange, but the phone now works like a charm as I mentioned in the start.
Evaluate your usage and budget to make the right choice.",5
18108,Moderate,Average product,2
11644,Utterly Disappointed,Good,1
11168,Horrible,Basic phone is better than this,1
12157,Did not meet expectations,"Noise cancellation so poor , sound is disturbed",1
14785,Good,"Mic not good for Conversation and if u purchase for song recordings, lzzz leave it",3
18715,Bad quality,Bad product battery backup 1 dyas,2
312,Best for music and gaming,"BoAt is really a good manufacturer of sound equipment. For pubg mobile lovers just hit it. I'm using on my asus zenfone max pro m2 and I clearly heard the sound of enemies even like there were of more than 70 metres so we were easily wiping them. Played 2 match with a chicken dinner man. The delivery guy was too great to talk to as well. Amazon if you verify the order with comment then do give him a promotion for being so nice to customers. Everything related to this boat headphones is awesome from music playing to playing games like pubg mobile , call of duty etc.",5
15882,Really Nice,"Look earphone is too good . I am using it personally i don't have any problem .
Bass is good , Sound quality is good . But ap per the cost .
The thing is that when i saw a Mi earphone with thee same price. I was shocked , That the sound quality is far better than This earphone.
so i recommend to go with Mi earphone with in this price .",4
13582,Not good,I didn't expect this poor quality from butterfly,2
8776,Excellent,"This is the best monitor under 10k price range.
I am very happy after using it. Text is crisp and clear. Good color combination. Must go for this product.",5
14798,Just okay,"Clarity is good,still there is lack of bass effect,",3
2832,"Thanks brother , for this Super Gift Iphone 11 , and Amazon Awesome as always!!!","Beautiful Gift from brother, An awesome gadget and early delivery and yeah awesome delivery person response.
Keep up the good work Amazon✌️👍",5
15680,Fair,giving a good output but its built quality is poor.wires are very thin..but sound quality is realy good as compared to its price,3
21026,Good choice,My smart watch not update.,4
10655,Horrible,Camera is poor,1
13364,Expected a better product,wires are most weak,2
8387,Great Monitor for everyday needs,Neat monitor. I am not a geek so don't know how it is for power users. For 1080p 60fps gaming this is the best budget ips panel. I have used it for a week and will update regarding durability.,5
13317,Expected a better product,If you are using standard headphones before it pls don't buy,2
16254,Really Nice,Good is Price. I enjoy music with it.,4
15432,Good,mic and one of its earphone stoped workings within 4 months,3
9043,Boom woofers 5 star,Bleeding light problem .monitor is good....but bleeding light.,5
13008,Not good,Not bad,2
12025,Unsatisfactory,It started well. But after 1 month stopped working one side. Then after 10 days stopped other side as well. Do not BUY this product. Save your money,1
1933,I got fake product,"It sounds like duplicate product
And received box in bad shape.",1
1508,Good quality in this price,I bought it almost 1 month back. Its working good for me till now. The bass and sound quality is good. It fits perfectly in ear. Bluetooth connection is also works fine for me.,4
21592,Good quality product,Comfortable ....campre to price,4
0,Bad bad bad quality,It has stopped working within warranty period and Amazon does not show option to return or replace it within warranty period.,1
21129,Nice product,"This is like a band in watch form. I m just going through some cons other wise product is good. One star cut for these cons
- if we disconnect Bluetooth it will not connect automatically. It should be though. (u have to go manually)
- some time face gesture doesn't respond
- music control is ultra slow it react 2 sec later after touch. (irritating)
These r the only issue I faced personally till 3 days of use and still I have 55 percent of battery... So Battery backup is about 6 days in medium use. May be it go 7 to 8 if we do not connect it with phone. Still batteries r good. Cause it takes only 2 hrs to charge so no issue.",4
3600,Nice,"Easy to use and printer is nice look, but dont have printer software CD. We need to download our self",4
3551,Best printer for household purpose.,"Probably the best printer for Someone who wants to use it for home. Print quality is excellent and installation was also as smooth.
Would highly recommend. ***** stars.",5
2055,I phone 11,Awesome phone great camera quality .,5
9266,Great product,Good product value for money,5
4576,Not for redmi note 8 pro,"Purchased with redmi note 8 pro..
But disappointed no pendrive detected..",4
16205,Worth the money,Good,4
20944,Value-for-money,"Nice watch
Battery life was good
Modes are awesome
Display is also well..
Nice looking
But the only problem is the activity tracking( accuracy is low.. The BP and and heart rate is not accurate..)
Overall its a nice product",4
14398,Could be way better,Jar size is very small. motor noise is very high. Stops for every 3 to 4 turns.,2
16017,Value-for-money,Very nice good quality 🎧💯💯,4
5455,Product genuine,Nice Product and also speed are good seller are genuine 👌,5
9473,Valuable product.,Good best quality,5
12079,Hated it!,its very bad product it's creates ear pain 😖😖😖😤😤,1
16872,Wonderful,Nice product,4
3724,Five Stars,Very very good. Happy with it. For home use its really top quality!,5
4867,Cool buy,Grt product,5
12381,Absolute rubbish!,best quality,1
2377,Look no further,"I never go by reviews. I have done intensive research differentiating between android and iOS. I previously was a big fan of Symbian OS. No wonder the most robust system in those days. Then, android & Windows took over Symbian monopoly.

I was accustomed with symbian but had no choice to buy Sony Experia smart phone as Nokia got dissapeared. I somehow wasnt comfortable with Android stock apps and the way the overall file system.

I then decided to try iOS and I never regretted to ever switch back to Android.",5
3539,Best quality printing,"The product is good but catridge gets empty too fast. You will have to replace cartridges frequently if you have quite a lot to print.
Print quality is also best.",3
7988,good fine awasome,Good,5
3925,Defective piece delivered,Amazon has sold a defective piece.. It did not work from second day....I need a replacement...U should be sued because of this mischief...,1
10743,Horrible,Redmond 9i product is not reliable don't waste money,1
15487,Decent product,Outstanding product....... I love it,3
16972,Worth the money,It's good,4
17539,Good,After 4 mnths review nothing worse happened yet.. but too small jars ok for a family of 3 members. And when we overload anything it wont work,3
1990,Simply.....go for it,"Nothing to complaint
Just what the product meant for...does it well",4
15902,Wonderful,"VERY NICE PRODUCT, GOT IT IN RED COLOUR BUT A BIT PRICY, WIRE IS NOT THAT MUCH TOUGH LOOK WISE THAN IN PICTURE...OVERALL NICE",4
12858,Could be way better,It got broken all of sudden,2
18220,Bad quality,Bad product,2
12329,Very poor,Useless,1
318,very good worth at this price,"I used wired Sony head phones, Boat head phones if we compare with Sony it could be better, but at this price I must say it's worth to purchase & it's sound is loud & clear",4
2821,Thanks Amazon!!!!,"Greatttt deal!!! thanks alottt Amazon for the offer and one day delivery, really awesome!!!

Camera superb
Design Awesome
Battery full day battery, charging time is around 2hrs
Feel the Performance of the phone to a whole new level A13 is far better than 865 processor.

Must go for it!!!",5
6462,Awesome product,"When I opened immediately to top cover, firstly we can find the jar cap and immediately i notice that jar cap had been broken. secondly there was bad smell like chalk power over all the jars, I did not know what was the reason. I request all to wash jars before using it.",5
15395,Good,Good supper head phone,3
14511,Good,Good quality,3
6480,Product damaged in first use.,"Your browser does not support HTML5 video.
 Already one time, the entire unit was replaced as the old one was leaking.
Now the small container bottom plastic part broke while the mixer was running and the blade just came out. Please send the replacement part.",1
7010,Fake pricings and fooling customers,This packaging doesn't have juicer jar. Why?,1
8313,Very good purchase,"Picture is not crisp when I am connecting to Laptop.
Average product. Was expecting much better quality from LG.
Made in china monitor but from LG company. Wondering why cant they make it India.",4
11492,Worthless,Stopped working after 4-5 months,1
9112,Very good bfor home use,very good product and value for money for pro user.,5
10210,Not recommended at all,worst your money to by this product.,1
3649,Nice but costly prints,Nice printer but a costly deal if you are using this for many prints. Ink cartridges are costly and even they are not easily available ( Specially the black one ),3
544,Overall just ok no big deal!!,I like the build quality it is good. But in the case of sound quality the vocals aee good but bass is very low compared to Boat 400 series overall just ok. The headset is not too tight so its easy to wear for long hours.,3
15530,Nice,not worthy,3
3005,Best phone but Amazon claim those accessories are missing,Amazon show charging adapter and earphone in the box but when deliver the phone these accessories are missing in box,4
17174,Just okay,Better product,3
14773,Nice,Just ok,3
3209,Printer Box Damged while handling,"Overall Printer is okay for home use.
printer catridge is liitle bit clogged while printing. ink level is very less.
also, no carry/cover pouch is given inside the box for keep safe from dust.",3
3248,"Dont buy this product, 2nd hand product, catriage missing","Very bad experience, i m ordered new printer but i received already used one, 2nd hand, box already opened, and without catriage like colour and black both are misssing",1
